name,invasive
1,0
2,0
3,1
4,0
5,1
6,0
7,1
8,1
9,0
10,0
11,1
12,1
13,1
14,0
15,0
16,0
17,0
18,1
19,1
20,1
21,1
22,0
23,1
24,0
25,1
26,0
27,1
28,1
29,1
30,1
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,1
40,1
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,0
50,0
51,0
52,1
53,0
54,0
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,0
66,1
67,0
68,1
69,0
70,0
71,1
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,1
81,1
82,1
83,1
84,1
85,0
86,1
87,1
88,0
89,0
90,1
91,1
92,0
93,0
94,1
95,0
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,0
109,1
110,1
111,1
112,1
113,1
114,1
115,0
116,1
117,1
118,1
119,1
120,1
121,0
122,0
123,0
124,0
125,1
126,0
127,1
128,1
129,0
130,0
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,0
141,0
142,0
143,1
144,0
145,0
146,1
147,1
148,0
149,0
150,0
151,1
152,1
153,0
154,1
155,1
156,1
157,1
158,0
159,1
160,0
161,1
162,0
163,0
164,0
165,0
166,1
167,1
168,0
169,1
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,1
180,1
181,0
182,0
183,1
184,0
185,1
186,1
187,0
188,1
189,0
190,1
191,1
192,1
193,0
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,0
203,0
204,1
205,1
206,1
207,0
208,0
209,0
210,0
211,1
212,1
213,0
214,0
215,1
216,1
217,1
218,0
219,0
220,1
221,1
222,0
223,1
224,0
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,0
233,1
234,1
235,1
236,0
237,1
238,0
239,0
240,1
241,1
242,1
243,0
244,1
245,0
246,1
247,1
248,0
249,0
250,0
251,0
252,0
253,0
254,1
255,1
256,0
257,1
258,1
259,1
260,1
261,1
262,0
263,0
264,1
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,0
277,1
278,1
279,0
280,1
